source	sha256
Mousepad	5d82f89421a0c8a29d4f6f5dcfbf450c2d86c104b25ceb6e8863f75ed496f169
GNOME_Citations	2ab04a778ef9dc9c4e681ebb006f25adb71e685f038c6f58af679b1c6263f89c
KBibTeX	f65701b654d0db4b797fcd6ccdca4d244dcc7189ddf894ec409b80d4b11a9ee1
JabRef	aa62a954f5206a3f300d21de68f0a3027a860e15413aed95ae17db6323f99cfb
coBib	1d74456354d6be52abe8dbd10193396159bbb84a0a56fb086f437cc849f867a3
Pandoc	d813fbb68007a697358c515f434ae951ae6d5ee8a4cca66c611acf63bf45083e
novelWriter	e44192ee8309862f1d16487c8419731ed1439d33f7e1f59cf1de94f04a8cafb2
